Player,Salary 
Aaron Connolly,"£1,196,000"
Aaron Hickey,"£1,560,000"
Aaron Ramsdale,"£3,220,000"
Aaron Wan-Bissaka,"£4,680,000"
Abdoulaye Doucouré,"£3,900,000"
Adam Armstrong,"£2,490,000"
Adam Davies,"£1,040,000"
Adam Lallana,"£4,680,000"
Adam Smith,"£1,820,000"
Adam Webster,"£1,976,000"
Albert Sambi Lokonga,"£2,700,000"
Alejandro Garnacho,"£2,600,000"
Aleksandar Mitrovic,"£3,120,000"
Alex Iwobi,"£2,600,000"
Alex McCarthy,"£3,466,667"
Álex Moreno,"£3,185,000"
Alex Smithies,"£1,560,000"
Alex Telles,"£4,840,000"
Alexander Isak,"£6,240,000"
Alisson Becker,"£7,800,000"
Alisson Becker,"£4,680,000"
Allan Saint-Maximin,"£2,000,000"
Alphonse Areola,"£6,240,000"
Amad Diallo,"£1,500,000"
Amadou Onana,"£5,200,000"
Andi Zeqiri,"£1,300,000"
Andre Gomes,"£5,835,000"
Andreas Pereira,"£2,080,000"
Anel Ahmedhodžić,"£1,300,000"
Angus Gunn,"£1,300,000"
Anthony Knockaert,"£1,950,000"
Anthony Martial,"£13,000,000"
Antoine Semenyo,"£1,040,000"
Antonee Robinson,"£1,430,000"
Antony dos Santo,"£10,400,000"
Arijanet Muric,"£1,040,000"
Armando Broja,"£2,080,000"
Aymeric Laporte,"£6,240,000"
Baba Rahman,"£4,470,000"
Ben Chilwell,"£10,400,000"
Ben Davies,"£3,120,000"
Ben Gibson,"£2,080,000"
Ben Godfrey,"£4,000,000"
Ben Johnson,"£1,000,000"
Ben Mee,"£2,860,000"
Ben White,"£6,240,000"
Benoit Badiashile,"£4,387,500"
Bernardo Silva,"£7,800,000"
Bernd Leno,"£4,680,000"
Billy Gilmour,"£1,040,000"
Bobby Reid,"£1,950,000"
Boubacar Kamara,"£7,800,000"
Boubakary Soumaré,"£5,150,000"
Brandon Williams,"£3,380,000"
Brenden Aaronson,"£2,340,000"
Brennan Johnson,"£1,560,000"
Bruno Fernandes,"£12,480,000"
Bruno Guimarães,"£5,616,000"
Bryan Gil,"£4,160,000"
Bryan Mbeumo,"£4,160,000"
Bukayo Saka,"£10,140,000"
Callum Hudson-Odoi,"£6,240,000"
Callum Wilson,"£2,400,000"
Calum Chambers,"£1,225,000"
Cameron Archer,"£1,040,000"
Carlos Casimiro,"£15,600,000"
Carlos Vinícius,"£2,080,000"
Carney Chukwuemeka,"£5,200,000"
Cedric Soares,"£3,900,000"
Charlie Taylor,"£1,300,000"
Che Adams,"£1,560,000"
Cheick Doucouré,"£3,120,000"
Cheikhou Kouyate,"£2,340,000"
Chris Mepham,"£1,820,000"
Chris Richards,"£2,860,000"
Christian Eriksen,"£7,800,000"
Christian Nørgaard,"£1,040,000"
Christoph Zimmermann,"£1,010,000"
Cody Gakpo,"£5,720,000"
Connor Roberts,"£1,360,000"
Conor Gallagher,"£2,600,000"
Craig Dawson,"£2,340,000"
Cristian Romero,"£8,580,000"
Dan Burn,"£1,000,000"
Dango Ouattara,"£1,820,000"
Daniel James,"£2,600,000"
Daniel Podence,"£3,120,000"
Danilo Luiz da Silva,"£1,448,571"
Danny Ings,"£6,500,000"
Danny Ward,"£1,040,000"
Danny Welbeck,"£2,860,000"
Darren Randolph,"£1,300,000"
Darwin Núñez,"£9,330,000"
David Brooks,"£2,860,000"
David Fofana,"£9,657,143"
David Raya,"£1,300,000"
Davinson Sanchez,"£3,380,000"
Dean Henderson,"£5,200,000"
Declan Rice,"£3,120,000"
Dele Alli,"£5,200,000"
Demarai Gray,"£1,300,000"
Dennis Praet,"£3,900,000"
Diego Carlos,"£5,200,000"
Diego Llorente,"£2,340,000"
Diogo Dalot,"£4,420,000"
Diogo Jota,"£9,360,000"
Djed Spence,"£1,300,000"
Dominic Calvert-Lewin,"£1,248,000"
Dominic Solanke,"£2,600,000"
Donny van de Beek,"£6,240,000"
Douglas Luiz,"£3,900,000"
Dwight McNeil,"£1,300,000"
Eberech Eze,"£1,560,000"
Ederson Moraes,"£3,380,000"
Edward Nketiah,"£5,200,000"
Elliot Anderson,"£2,340,000"
Emerson Palmieri,"£4,940,000"
Emerson Royal,"£2,170,000"
Emil Krafth,"£3,000,000"
Emile Smith Rowe,"£1,040,000"
Emiliano Buendía,"£3,900,000"
Emiliano Martinez,"£7,488,000"
Emmanuel Dennis,"£2,080,000"
Enzo Fernández,"£15,470,000"
Eric Bailly,"£4,160,000"
Eric Dier,"£3,755,200"
Erling Haaland,"£19,500,000"
Ethan Horvath,"£890,000"
Ethan Pinnock,"£1,560,000"
Evan Ferguson,"£1,040,000"
Ezri Konsa,"£1,560,000"
Fabian Schar,"£2,080,000"
Fabinho Tavares,"£9,360,000"
Fabio Silva,"£4,160,000"
Fábio Vieira,"£2,360,000"
Facundo Buonanotte,"£780,000"
Facundo Pellistri,"£1,000,000"
Felipe Augusto de Almeida,"£4,160,000"
Flynn Downes,"£1,300,000"
Francisco Oliveira,"£950,000"
Frank Onyeka,"£960,000"
Fraser Forster,"£3,900,000"
Frederico de Paula Santos,"£6,240,000"
Gabriel Jesus,"£13,780,000"
Gabriel Magalhães,"£2,600,000"
Gabriel Martinelli,"£4,680,000"
Gavin Bazunu,"£1,040,000"
Georginio Rutter,"£3,336,667"
Gianluca Scamacca,"£4,680,000"
Giovani Lo Celso,"£3,640,000"
Giulian Biancone,"£1,040,000"
Gonçalo Guedes,"£4,680,000"
Grady Diangana,"£1,058,200"
Grant Hanley,"£1,040,000"
Gustavo Scarpa,"£1,820,000"
Hakim Ziyech,"£5,200,000"
Harry Kane,"£10,400,000"
Harry Maguire,"£8,464,286"
Harry Wilson,"£1,710,000"
Harry Winks,"£2,600,000"
Helder Costa,"£1,690,000"
Heung-Min Son,"£9,984,000"
Hjalmar Ekdal,"£936,000"
Hugo Lloris,"£5,200,000"
Ibrahima Diallo,"£2,860,000"
Ibrahima Konate,"£3,640,000"
Idrissa Gueye,"£4,160,000"
Illan Meslier,"£1,144,000"
Ilya Zabarnyi,"£1,300,000"
Isaac Hayden,"£1,144,000"
Ismaila Sarr,"£3,276,000"
Issa Diop,"£3,640,000"
Ivan Cavaleiro,"£1,950,000"
Ivan Perisic,"£9,270,000"
Ivan Toney,"£1,092,000"
Jack Cork,"£1,976,000"
Jack Grealish,"£15,600,000"
Jacob Murphy,"£1,300,000"
Jadon Sancho,"£18,200,000"
Jaidon Anthony,"£1,300,000"
Jake Vokins,"£1,100,000"
Jakub Kiwior,"£2,764,667"
Jamaal Lascelles,"£2,080,000"
Jamal Lewis,"£2,000,000"
James Garner,"£1,560,000"
James Tarkowski,"£5,200,000"
James Ward-Prowse,"£2,340,000"
Jamie Vardy,"£7,280,000"
Jan Bednarek,"£1,040,000"
Jannik Vestergaard,"£3,390,000"
Japhet Tanganga,"£1,200,000"
Jared Bowen,"£5,000,000"
Jason Steele,"£833,333"
Javier Manquillo,"£1,820,000"
Jay Rodriguez,"£1,820,000"
Jayden Bogle,"£858,000"
Jean-Philippe Gbamin,"£3,900,000"
Jean-Philippe Mateta,"£2,775,000"
Jeff Hendrick,"£2,100,000"
Jeffrey Schlupp,"£2,912,000"
Joachim Andersen,"£4,130,000"
Joao Cancelo,"£4,160,000"
João Palhinha,"£2,600,000"
Joe Aribo,"£3,640,000"
Joe Gelhardt,"£860,000"
Joe Gomez,"£3,900,000"
Joe Willock,"£1,040,000"
Joel Ward,"£1,820,000"
Joelinton Cassio Apolinário de Lira,"£4,500,000"
Jóhann Berg Guðmundsson,"£1,560,000"
John Stones,"£13,000,000"
Jonjo Shelvey,"£3,900,000"
Jonny Otto,"£1,907,000"
Jordan Pickford,"£5,208,333"
Jorge Luiz Frello Filho,"£5,720,000"
José Sá,"£1,490,000"
Josh Brownhill,"£2,080,000"
Josh Dasilva,"£936,000"
Julian Álvarez,"£2,600,000"
Junior Firpo,"£2,200,000"
Kalvin Phillips,"£7,800,000"
Karl Darlow,"£1,300,000"
Keane Lewis-Potter,"£1,820,000"
Keinan Davis,"£2,340,000"
Kelechi Iheanacho,"£3,120,000"
Kenny Tete,"£2,650,000"
Kepa Arrizabalaga,"£7,800,000"
Kevin De Bruyne,"£20,800,000"
Kevin Mbabu,"£2,080,000"
Kieffer Moore,"£920,000"
Kieran Tierney,"£5,720,000"
Kieran Trippier,"£6,250,000"
